SRNo,Sno,StateCD,DistrictCD,BlockCode,SubDistrictCD,VillageCode,LabType,LabName,districtnm,blockNameEng,Email,Mobile,MNTF,BTF,STF,Prsn_Soil,Prsn_Technical,Prsn_Supporting,An_Routine,An_Full,Sa_Routine,Sa_Full,Charges_Full_Actual,Charges_Full_Charged,Charges_Routine_Actual,Charges_Routine_Charged,Govt_Funding,Static_Mobile,Status,Town_Village_Name,SubDistName,statenm,address,lat,long
343,436,5,508,0,372,10807,Govt,KARNAL,KARNAL, ,ddstkarnal@gmail.com,9467374218,Yes,Yes,Yes,3,8,10,10000,30000,25000,30000,300,0,300,0,State Government Scheme,Static,Complete,Karnal ,Karnal,HARYANA,Karnal KARNAL HARYANA,29.6856929,76.9904825
344,1849,5,508,514,372,10807,KVK,KVK NDRI,KARNAL,KARNAL                                            ,kvkkarnal@yahoo.com,9215757800,No,No,No, , , ,5,700, , , , , , ,ICAR,Static,Under Progress,Karnal ,Karnal,HARYANA,KARNAL Karnal KARNAL HARYANA,29.6856929,76.9904825
345,1673,5,508,514,372,10807,KVK,"KVK, NDRI, Karnal (Haryana)",KARNAL,KARNAL                                            ,kvkkarnal@yahoo.com,9416172347,Yes,Yes,Yes,0,0,0,500,0,48,0,0,0,0,0,KVK Scheme of ICAR,Static,Complete,Karnal ,Karnal,HARYANA,KARNAL Karnal KARNAL HARYANA,29.6856929,76.9904825
346,496,5,508,0,371,10805,Govt,Mobile van,KARNAL, ,ddstkarnal@gmail.com,9467374218,Yes,No,Yes,2,4,2,5000,5000,15000,7568,300,0,300,0,NPMSF,Mobile,Complete,Indri ,Indri,HARYANA,Indri KARNAL HARYANA,29.8811462,77.0541183
347,495,5,508,0,374,10813,Govt,MOBILE VAN  KARNAL,KARNAL, ,ddstkarnal@gmail.com,9467374218,Yes,No,Yes,2,4,2,5000,5000,15000,7580,300,0,300,0,NPMSF,Mobile,Complete,Gharaunda ,Gharaunda,HARYANA,Gharaunda KARNAL HARYANA,29.5424235,76.9700669
348,762,5,508,514,372,10807,SAU,"RSTL, Uchani, Karnal",KARNAL,KARNAL                                            , ,9254430207,No,No,No,1,1,1,1100,0,593,0,0,0,700,700,State Government Scheme,Static,Complete,Karnal ,Karnal,HARYANA,KARNAL Karnal KARNAL HARYANA,29.6856929,76.9904825
349,451,5,509,519,365,10787,Govt,PEOHWA,KURKSHETRA,PEHOWA                                            ,stopehowa@gmail.com,9996652226,No,No,Yes,2,4,3,10000,10000,15000,8563,200,0,200,0,State Government Scheme,Static,Complete,Pehowa ,Pehowa,HARYANA,PEHOWA Pehowa KURKSHETRA HARYANA,29.9814167,76.5892774
350,450,5,509,520,364,10785,Govt,SHAHABAD,KURKSHETRA,SHAHBAD                                           ,attryankit1@gmail.com,9467728364,Yes,No,Yes,2,5,2,10000,10000,30000,17062,300,0,300,0,"NPMSF,State Government Scheme",Static,Complete,Shahbad ,Shahbad,HARYANA,SHAHBAD Shahbad KURKSHETRA HARYANA,30.1672152,76.8683714
351,1674,5,509,521,366,10789,KVK,"Soil and Water Testing Lab, KVK Kurukshetra",KURKSHETRA,THANESAR                                          ,sckvkkurukshetra@gmail.com,9466478827,No,No,No,1,0,0,200,0,0,0, , ,10,0,ICAR,Static,Complete,Thanesar ,Thanesar,HARYANA,THANESAR Thanesar KURKSHETRA HARYANA,29.9696148,76.8197522
352,494,5,509,521,366,10789,Govt,THANESAR,KURKSHETRA,THANESAR                                          ,stothanesar@gmail.com,9466859875,Yes,No,Yes,2,5,5,10000,10000,30000,31170,300,0,300,0,State Government Scheme,Static,Complete,Thanesar ,Thanesar,HARYANA,THANESAR Thanesar KURKSHETRA HARYANA,29.9696148,76.8197522
353,395,5,512,524,411,10901,KVK,KVK Mahendergarh,MAHENDRA GARH,MAHENDRAGARH                                      ,sckvkmgarh@gmail.com,9416237404,No,No,No,0,0,0,500,0,57,0,0,0,70,10,ICAR,Static,Complete,Mahendragarh ,Mahendragarh,HARYANA,MAHENDRAGARH Mahendragarh MAHENDRA GARH HARYANA,28.2710192,76.1493891
354,458,5,512,524,411,10901,Govt,MOHINDERGARH,MAHENDRA GARH,MAHENDRAGARH                                      ,stonarnaul@gmail.com,9566616046,Yes,No,Yes,2,5,5,10000,10000,30000,26055,300,0,300,0,State Government Scheme,Static,Complete,Mahendragarh ,Mahendragarh,HARYANA,MAHENDRAGARH Mahendragarh MAHENDRA GARH HARYANA,28.2710192,76.1493891
355,459,5,512,526,412,10904,Govt,NARNAUL,MAHENDRA GARH,NARNAUL                                           ,stonarnaul@gmail.com,9566616046,Yes,No,Yes,2,6,5,10000,10000,30000,26246,300,0,300,0,State Government Scheme,Static,Complete,Narnaul ,Narnaul,HARYANA,NARNAUL Narnaul MAHENDRA GARH HARYANA,28.0657961,76.1014781
356,461,5,522,476,423,10930,Govt,FEROZPUR JHIRKA,MEWAT,FEROZEPUR JHIRKA                                  ,opnadal1957@gmail.com,9416357482,No,No,Yes,2,5,4,10000,10000,15000,14034,200,0,200,0,State Government Scheme,Static,Complete,Ferozepur jhirka ,Ferozepur Jhirka,HARYANA,FEROZEPUR JHIRKA Ferozepur Jhirka MEWAT HARYANA,27.7873427,76.9464633
357,460,5,522,479,422,10928,Govt,NUH,MEWAT,NUH                                               ,asconarnaul@gmail.com,9416982777,No,No,Yes,2,5,4,5000,10000,15000,14046,200,0,200,0,State Government Scheme,Static,Complete,Nuh ,Nuh,HARYANA,NUH Nuh MEWAT HARYANA,28.1023894,76.9931074
358,462,5,523,468,427,10940,Govt,PALWAL,PALWAL,PALWAL                                            ,dpbajaj15@gmail.com,9416291817,Yes,No,Yes,2,6,4,10000,10000,30000,42382,300,0,300,0,State Government Scheme,Static,Complete,Palwal ,Palwal,HARYANA,PALWAL Palwal PALWAL HARYANA,28.1487362,77.3320262
359,481,5,520,0,357,10766,Govt,PANCHKULA,PANCHKULA, ,stopkl21@gmail.com,9888536860,Yes,Yes,Yes,2,6,4,10000,10000,10000,9366,300,0,300,0,State Government Scheme,Static,Complete,Panchkula ,Panchkula,HARYANA,Panchkula PANCHKULA HARYANA,30.6942091,76.860565
360,482,5,515,534,375,10817,Govt,PANIPAT,PANIPAT,PANIPAT                                           , ,9813097461,No,No,Yes,2,5,4,10000,10000,30000,35143,200,0,200,0,State Government Scheme,Static,Complete,Panipat ,Panipat,HARYANA,PANIPAT Panipat PANIPAT HARYANA,29.3909464,76.9635023
361,550,5,515,531,377,127252,KVK,"STL-KVK ,PANIPAT",PANIPAT,BAPOLI                                            ,sckvkpanipat@gmail.com,9416866322,No,No,No,1,1,0,500,500,100,0,0,0,700,10,Financial assistance received from ICAR,Static,Complete,Ujah ,Samalkha,HARYANA,BAPOLI Samalkha PANIPAT HARYANA,29.3599069,77.0575594
362,483,5,518,0,414,10909,Govt,REWARI,REWARI, ,opnadal1957@gmail.com,9416357482,Yes,No,Yes,2,6,4,10000,10000,30000,38066,300,0,300,0,State Government Scheme,Static,Complete,Rewari ,Rewari,HARYANA,Rewari REWARI HARYANA,28.1927631,76.6239423
363,759,5,518,536,415,10911,SAU,"RSTL, Bawal District Rewari",REWARI,BAWAL                                             ,satyavir_syadav@yahoo.com,9416464544,No,No,No,1,1,3,1100,0,519,0,0,0,700,700,State Government Scheme,Static,Complete,Bawal ,Bawal,HARYANA,BAWAL Bawal REWARI HARYANA,28.0974786,76.5892774
364,1840,5,518,540,414,177260,KVK,Soil & Water Testing Lab,REWARI,REWARI                                            ,bbakvkrr@gmail.com,9416475793,No,No,No,1,0,0,1000,0,670,0,0,0,90,10,"ICAR, New Delhi",Static,Complete,Rampura ,Rewari,HARYANA,REWARI Rewari REWARI HARYANA,28.1927631,76.6239423
365,699,5,518,540,414,177260,KVK,soil and water testing lab,REWARI,REWARI                                            ,bbakvkrr@gmail.com,9416475793,No,No,No,1,0,0,1000,3000,800,3000,100,10,100,10,KVK,Static,Complete,Rampura ,Rewari,HARYANA,REWARI Rewari REWARI HARYANA,28.1927631,76.6239423
366,485,5,504,541,404,167720,Govt,KALANAUR,ROHTAK,KALANAUR                                          , ,8053148420,No,No,Yes,2,5,2,10000,20000,10000,6005,200,0,200,0,NPMSF,Static,Complete,Maham ,Maham,HARYANA,KALANAUR Maham ROHTAK HARYANA,,
367,484,5,504,544,405,10886,Govt,ROHTAK,ROHTAK,ROHTAK                                            ,storohtak@gmail.com,8053148420,Yes,Yes,Yes,2,6,4,10000,10000,30000,26369,300,0,300,0,State Government Scheme,Static,Complete,Rohtak ,Rohtak,HARYANA,ROHTAK Rohtak ROHTAK HARYANA,28.8955152,76.606611
368,641,5,504,544,405,10886,KVK,Soil Testing Lab KVK Rohtak,ROHTAK,ROHTAK                                            ,kvkrohtaksc@gmail.com,9416147699,No,No,No,0,2,0,1500,0,695,0,0,0,700,10,ICAR,Static,Complete,Rohtak ,Rohtak,HARYANA,ROHTAK Rohtak ROHTAK HARYANA,28.8955152,76.606611
369,486,5,502,552,390,10854,Govt,SIRSA,SIRSA,SIRSA                                             ,ddasirsa2009@gmail.com,9896156601,Yes,No,Yes,2,6,5,10000,10000,40000,39335,300,0,300,0,State Government Scheme,Static,Complete,Sirsa ,Sirsa,HARYANA,SIRSA Sirsa SIRSA HARYANA,29.5335931,75.0177029
370,1279,5,502,552,390,10854,KVK,SOIL AND WATER TESTING LABORATORY,SIRSA,SIRSA                                             ,sckvksirsa@gmail.com,9416160958,No,No,No,1,0,0,200,0,200,0,0,0,10,10,ICAR,Static,Complete,Sirsa ,Sirsa,HARYANA,SIRSA Sirsa SIRSA HARYANA,29.5335931,75.0177029
371,488,5,505,553,379,10826,Govt,GANNAUR,SONEPAT,GANAUR                                            ,stoganaur@gmail.com,9034350342,Yes,No,Yes,2,5,2,10000,10000,10000,10000,300,0,300,0,NPMSF,Static,Complete,Ganaur ,Ganaur,HARYANA,GANAUR Ganaur SONEPAT HARYANA,29.1349669,77.0180345
372,489,5,505,554,378,10824,Govt,GOHANA,SONEPAT,GOHANA                                            ,urmildhull@gmail.com,9416285808,Yes,No,Yes,2,7,4,10000,10000,30000,26369,300,0,300,0,State Government Scheme,Static,Complete,Gohana ,Gohana,HARYANA,GOHANA Gohana SONEPAT HARYANA,29.1384064,76.6932438
373,1306,5,505,558,380,127091,KVK,Soil and Water testing,SONEPAT,RAI                                               ,sckvksonipat@gmail.com,9416179400,No,No,No,0,0,0,1000,0,30,0,100,0,70,10,ICAR,Static,Complete,Jagdishpur,Sonipat,HARYANA,RAI Sonipat SONEPAT HARYANA,28.9268128,77.0967357
374,487,5,505,559,380,10828,Govt,SONEPAT,SONEPAT,SONIPAT                                           ,urmildhull@gmail.com,9416397188,No,No,Yes,2,5,4,10000,10000,50000,47083,200,0,200,0,State Government Scheme,Static,Complete,Sonipat ,Sonipat,HARYANA,SONIPAT Sonipat SONEPAT HARYANA,29.0523053,76.9182097
375,493,5,517,0,361,10778,Govt,JAGADHARI,YAMUNA NAGAR, ,ascoyamunanagar@gmail.com,9466026713,Yes,No,Yes,2,7,5,10000,10000,30000,32561,300,0,300,0,State Government Scheme,Static,Complete,Jagadhri ,Jagadhri,HARYANA,Jagadhri YAMUNA NAGAR HARYANA,30.1680858,77.2969204
376,1278,5,517,562,361,39564,KVK,SOIL TESTING LAB,YAMUNA NAGAR,JAGADHRI                                          ,sckvkynagar@gmail.com,946645197,No,No,No,0,0,0,15,0,200,0,0,0,10,10,other,Static,Complete,Damla ,Jagadhri,HARYANA,JAGADHRI Jagadhri YAMUNA NAGAR HARYANA,30.1680858,77.2969204
377,1883,5,517,562,361,39564,KVK,SOIL TESTING LAB,YAMUNA NAGAR,JAGADHRI                                          ,sckvkynagar@gmail.com,9416497231,No,No,No, , , ,100,0, , , , , , ,ICAR,Static,Under Progress,Damla ,Jagadhri,HARYANA,JAGADHRI Jagadhri YAMUNA NAGAR HARYANA,30.1680858,77.2969204
378,1042,6,601,137,152,10244,KVK,Soil and Water testing Lab,BILASPUR,GHUMARWIN                                         ,kvkbilaspurhp@gmail.com,9418456665,No,No,No,1,1,0,1200,0,35,0,0,0,40,60,ICAR,Static,Complete,Ghumarwin ,Ghumarwin,HIMACHAL PRADESH,GHUMARWIN Ghumarwin BILASPUR HIMACHAL PRADESH,31.4491451,76.7047904
379,1816,6,601,135,156,10251,Govt,"Soil Testing Lab, Dhaulara, Bilaspur",BILASPUR,BILASPUR SADAR                                    ,stlbilaspur@yahoo.in,9418456105,Yes,No,No,1,2,3,8750,10937,10500,13125, , ,0,0,State Government Scheme,Static,Complete,Bilaspur ,Bilaspur Sadar,HIMACHAL PRADESH,BILASPUR SADAR Bilaspur Sadar BILASPUR HIMACHAL PRADESH,31.3276492,76.7639499
380,492,6,602,140,90,104576,Govt,SOIL TESTING LABORATORY CHAMBA AT RAJPURA,CHAMBA,CHAMBA                                            ,ddachamba@ymail.com,9418041635,Yes,No,No,1,3,2,8000,1500,8000,1500,105,0,90,0,"RKVY,State Government Scheme",Static,Complete,Rajpura  ,Chamba,HIMACHAL PRADESH,CHAMBA Chamba CHAMBA HIMACHAL PRADESH,32.5533633,76.1258083
381,1344,6,603,149,141,18330,KVK,kvk soil testing laboratory,HAMIRPUR,NADAUN                                            ,kvkhmr@gmail.com,9418676591,No,No,Yes,1,0,0,250,250,600,600,60,0,60,0,icar,Static,Complete,Dobbar Khurd  ,Nadaun,HIMACHAL PRADESH,NADAUN Nadaun HAMIRPUR HIMACHAL PRADESH,31.7785034,76.3444587
382,1814,6,603,148,143,10226,Govt,MOBILE SOIL TESTING LAB,HAMIRPUR,HAMIRPUR                                          ,ddahamirpur@ymail.com,9418046105,No,No,No,1,3,2,1500,0,1500,0,99,0,85,0,State Government Scheme,Mobile,Complete,Hamirpur ,Hamirpur,HIMACHAL PRADESH,HAMIRPUR Hamirpur HAMIRPUR HIMACHAL PRADESH,31.6861745,76.5213092
383,1815,6,603,148,143,10226,Govt,SOIL TESTING LAB. HAMIRPUR,HAMIRPUR,HAMIRPUR                                          ,ddahamirpur@ymail.com,9418046105,Yes,No,No,1,3,2,11000,2200,11000,2200,99,0,85,0,State Government Scheme,Static,Complete,Hamirpur ,Hamirpur,HIMACHAL PRADESH,HAMIRPUR Hamirpur HAMIRPUR HIMACHAL PRADESH,31.6861745,76.5213092
384,456,6,604,161,111,10178,Govt,SOIL  TESTING LAB. PALAMPUR,KANGRA,PANCHRUKHI                                        ,stopalampur@ymail.com,9459612906,Yes,Yes,Yes,1,4,2,14000,14000,14000,14000,300,0,200,0,State Government Scheme,Static,Complete,Palampur ,Palampur,HIMACHAL PRADESH,PANCHRUKHI Palampur KANGRA HIMACHAL PRADESH,32.0565592,76.5647174
385,1300,6,604,156,100,502635,KVK,Soil & Water Analysis Lab,KANGRA,KANGRA                                            ,kvkkangra@gmail.com,9418112684,No,No,No,0,1,0,100,150,450,500,0,0,0,0,Yes,Static,Complete,Natehr  ,Kangra,HIMACHAL PRADESH,KANGRA Kangra KANGRA HIMACHAL PRADESH,32.0998031,76.2691006
386,1851,6,605,165,197,321504,KVK,Soil Testing Lab ,KINNAUR,KALPA                                             ,kvkkinnaur1995@gmail.com,9418521324,No,No,Yes,0,1,0,1000,0,120,0,0,0,562,135,ICAR,Static,Complete,Reckong Peo ,Kalpa,HIMACHAL PRADESH,KALPA Kalpa KINNAUR HIMACHAL PRADESH,31.5376578,78.2753776
387,1323,6,606,170,118,266246,KVK,Soil and water testing lab.,KULLU,KULLU                                             ,kvkkullu@gmail.com,9418193270,No,No,Yes,0,1,0,500,0,250,0,600,0,80,0,ICAR,Static,Complete,Bajaura ,Kullu,HIMACHAL PRADESH,KULLU Kullu KULLU HIMACHAL PRADESH,31.957851,77.1094597
388,467,6,606,170,118,10189,Govt,"Soil Testing Laboratory, Kullu",KULLU,KULLU                                             ,soiltestingofficerkullu@ymail.com,9418145096,Yes,No,No,1,4,3,10000,1500,10691,1148,97.8,0,72.6,0,State Government Scheme,Static,Complete,Kullu ,Kullu,HIMACHAL PRADESH,KULLU Kullu KULLU HIMACHAL PRADESH,31.957851,77.1094597
389,573,6,607,184,132,10209,KVK,Soil and Water Testing Lab,MANDI,SUNDARNAGAR                                       ,kvkmandihp@rediffmail.com,9418808855,No,No,No,1,1,0,300,0,150,0, , ,75,0,ICAR,Static,Complete,Sundarnagar ,Sundarnagar,HIMACHAL PRADESH,SUNDARNAGAR Sundarnagar MANDI HIMACHAL PRADESH,31.5332397,76.8922729
390,469,6,607,184,132,10209,Govt,Soil Testing Lab. Sunder Nagar,MANDI,SUNDARNAGAR                                       ,stosnagar@ymail.com,9418030872,Yes,No,No,1,2,4,14500,3600,14600,3625,75,0,62,0,State Government Scheme,Static,Complete,Sundarnagar ,Sundarnagar,HIMACHAL PRADESH,SUNDARNAGAR Sundarnagar MANDI HIMACHAL PRADESH,31.5332397,76.8922729
391,454,6,608,0,182,10297,Govt,Soil Testing Lab,SHIMLA, ,sacshimla@ymail.com,9816025245,Yes,No,No,1,3,2,12000,12000,34260,34260,85,0,82.8,0,State Government Scheme,Static,Complete,Shimla ,Shimla (urban),HIMACHAL PRADESH,Shimla (urban) SHIMLA HIMACHAL PRADESH,31.0907808,77.1751678
392,1846,6,608,192,191,272341,KVK,"Soil Testing Lab, KVK Shimla",SHIMLA,ROHRU                                             ,shimla_kvk@rediffmail.com,9418082177,No,No,Yes,1,0,1,600,0,156,0,0,0,562,135,ICAR,Static,Complete,Karalash ,Rohru,HIMACHAL PRADESH,ROHRU Rohru SHIMLA HIMACHAL PRADESH,31.2045526,77.7523608
393,969,6,608,0,182,10297,Govt,"Soil Testing Lab, Shimla-4",SHIMLA, ,sacshimla@ymail.com,9816025245,No,No,No,1,4,2,4000,0,3243,0,0,0,77.8,0,State Government Scheme,Mobile,Complete,Shimla ,Shimla (urban),HIMACHAL PRADESH,Shimla (urban) SHIMLA HIMACHAL PRADESH,31.0907808,77.1751678
394,1909,6,608,0,182,10297,Govt,Soil Testing Lb. Shimla-4,SHIMLA, ,sacshimla@ymail.com,9418452505,No,No,No,1,2,5,4000,0,3240,0,0,0,77.8,0,State Government Scheme,Mobile,Complete,Shimla ,Shimla (urban),HIMACHAL PRADESH,Shimla (urban) SHIMLA HIMACHAL PRADESH,31.0907808,77.1751678
395,1907,6,608,189,182,10297,Govt,Soil Testing Lb. Shimla-4,SHIMLA,MASHOBRA                                          ,sacshimla@ymail.com,9816025245,Yes,No,No,1,2,5,8000,2000,8173,2056,80,0,77.8,0,State Government Scheme,Static,Complete,Shimla ,Shimla (urban),HIMACHAL PRADESH,MASHOBRA Shimla (urban) SHIMLA HIMACHAL PRADESH,31.1290943,77.2280013
396,1910,6,608,189,182,10297,Govt,Soil Testing Lb. Shimla-4,SHIMLA,MASHOBRA                                          ,sacshimla@ymail.com,9418452505,Yes,No,No,1,2,5,8000,2000,8173,2056,80,0,77.8,0,State Government Scheme,Static,Complete,Shimla ,Shimla (urban),HIMACHAL PRADESH,MASHOBRA Shimla (urban) SHIMLA HIMACHAL PRADESH,31.1290943,77.2280013
397,359,6,609,196,173,596280,SAU,KVK SIRMOUR,SIRMAUR,PAONTA SAHIB                                      ,kvksirmour@gmail.com,9418467292,No,No,No,0,1,0,500,1000,0,0,0,0,0,0,ICAR,Static,Complete,Dhola Kuan ,Paonta Sahib,HIMACHAL PRADESH,PAONTA SAHIB Paonta Sahib SIRMAUR HIMACHAL PRADESH,30.445283,77.6020569
398,463,6,609,196,173,596280,Govt,STL DHAULAKUAN,SIRMAUR,PAONTA SAHIB                                      ,ddasirmour@ymail.com,1704257444,Yes,No,No,2,2,5,11500,11500,30000,30000,0,0,0,0,State Government Scheme,Static,Complete,Dhola Kuan ,Paonta Sahib,HIMACHAL PRADESH,PAONTA SAHIB Paonta Sahib SIRMAUR HIMACHAL PRADESH,30.445283,77.6020569
399,423,6,610,204,165,10269,SAU,"Department of Soil Science, UHF, Nauni",SOLAN,SOLAN                                             ,gp.up2009@gmail.com, +91-98164-741321,Yes,No,Yes,1,2,1,1200,500,36,478,1124,270,562,135,Others,Static,Complete,Solan ,Solan,HIMACHAL PRADESH,SOLAN Solan SOLAN HIMACHAL PRADESH,30.9044857,77.0967357
400,1286,6,610,201,166,41094,KVK,Soil and water testing lab,SOLAN,KANDAGHAT                                         ,kvkkghat@rediffmail.com,9418154709,No,No,No,1,0,0,100,0,220,0,0,0,135,135,ICAR,Static,Complete,Ded  ,Kandaghat,HIMACHAL PRADESH,KANDAGHAT Kandaghat SOLAN HIMACHAL PRADESH,30.9702143,77.1053673
401,464,6,610,204,165,10269,Govt,Soil Testing Laboratory Solan,SOLAN,SOLAN                                             ,stosolan@ymail.com,9418043057,Yes,No,No,1,1,2,8750,2300,11500,2300,500,0,500,0,"RKVY,State Government Scheme",Static,Complete,Solan ,Solan,HIMACHAL PRADESH,SOLAN Solan SOLAN HIMACHAL PRADESH,30.9044857,77.0967357
402,1276,6,611,209,150,507176,KVK,Soil and water testing lab,UNA,UNA                                               ,pckvkuna@gmail.com,9418462867,No,No,No,1,1,1,1200,0,470,0, , ,40,60,ICAR,Static,Complete,Rampur  ,Una,HIMACHAL PRADESH,UNA Una UNA HIMACHAL PRADESH,31.468445,76.2707745
403,478,6,611,209,150,10238,Govt,Soil Testing Laboratory,UNA,UNA                                               ,ddauna@ymail.com,9418181296,Yes,Yes,Yes,1,1,4,11500,11500,11500,11500,60,60,60,60,State Government Scheme,Static,Complete,Una ,Una,HIMACHAL PRADESH,UNA Una UNA HIMACHAL PRADESH,31.468445,76.2707745
404,930,7,701,3,54,10050,Govt,Soil Testing Laboratory,ANANTNAG,DACHNIPORA                                        ,caoanatnag@yahoo.com,9419088927,No,No,No,0,2,3,2200,4000,2161,4000,0,0,0,0,State Government Scheme,Static,Complete,Bijbehara ,Bijbehara,JAMMU AND KASHMIR,DACHNIPORA Bijbehara ANANTNAG JAMMU AND KASHMIR,,
405,928,7,704,14,7,9947,Govt,Soil Testing Laboratory,BADGAM,BADGAM                                            ,mohmadayub715@yahoo.in,9622758269,No,No,No,0,2,3,1000,4000,997,4000,0,0,0,0,State Government Scheme,Static,Complete,Badgam ,Budgam,JAMMU AND KASHMIR,BADGAM Budgam BADGAM JAMMU AND KASHMIR,33.9348549,74.6400432
406,925,7,705,22,35,10005,Govt,Soil Testing Laboratory,BARAMULLA,BARAMULLA                                         ,mohdiqbalkhan47@yahoo.com,9797218006,No,No,No,0,1,2,1700,4000,1771,4000,0,0,0,0,State Government Scheme,Static,Complete,Baramula ,Baramulla,JAMMU AND KASHMIR,BARAMULLA Baramulla BARAMULLA JAMMU AND KASHMIR,34.1595145,74.3587473
407,1938,7,712,39,65,570740,KVK,KVK,DODA,BHADERWAH                                         ,kvkdoda@gmail.com,9596915177,No,No,No,NA,NA,NA,0,0, , , , , , ,ICAR,Static,Under Progress,Dandi,Bhaderwah,JAMMU AND KASHMIR,BHADERWAH Bhaderwah DODA JAMMU AND KASHMIR,32.9830255,75.7109806
408,974,7,712,43,62,10079,Govt,Mobile Soil Testing Lab Doda,DODA,DODA                                              ,harikrzdn@gmail.com,9419136486,No,No,No,0,1,1,1500,0,1107,0,275,0,130,0,"RKVY,MMA,State Government Scheme",Mobile,Complete,Doda ,Doda,JAMMU AND KASHMIR,DODA Doda DODA JAMMU AND KASHMIR,33.1457497,75.5480491
409,973,7,712,43,62,10079,Govt,Soil Testing Lab Doda,DODA,DODA                                              ,harikrzdn@gmail.com,9419136486,No,No,No,1,1,1,5500,0,5833,0,275,0,130,0,"RKVY,MMA,State Government Scheme",Static,Complete,Doda ,Doda,JAMMU AND KASHMIR,DODA Doda DODA JAMMU AND KASHMIR,33.1457497,75.5480491
410,1305,7,721,119,47,10031,KVK,SOIL TESTING LABORATORY KVK GANDERBAL,GANDERBAL,GANDERBAL                                         ,manzoorrangrez@yahoo.co.in,9419095742,No,No,No,0,0,0,0,0, , , , , , ,ICAR,Static,Under Progress,Ganderbal ,Ganderbal,JAMMU AND KASHMIR,GANDERBAL Ganderbal GANDERBAL JAMMU AND KASHMIR,34.2164955,74.7719431
411,993,7,710,61,79,10118,Govt, Soil Testing Laboratory Jammu,JAMMU,MARH                                              ,agrichemist56@gmail.com,9419139491,Yes,No,No,1,1,3,13000,500,12249,90,275,0,130,0,"MMA,State Government Scheme",Static,Complete,Jammu ,Jammu,JAMMU AND KASHMIR,MARH Jammu JAMMU JAMMU AND KASHMIR,32.8946172,74.8360918
412,998,7,710,61,79,10118,Govt,Mobile Soil Testing Laboratory Jammu,JAMMU,MARH                                              ,agrichemist56@gmail.com,9419139491,No,No,No,0,1,1,2000,0,1292,0,275,0,130,0,"RKVY,MMA,State Government Scheme",Mobile,Complete,Jammu ,Jammu,JAMMU AND KASHMIR,MARH Jammu JAMMU JAMMU AND KASHMIR,32.8946172,74.8360918
413,1083,7,710,0,79,10118,Govt,Soil testing and Leaf Analysis Lab,JAMMU, ,contactus@horticulturejammu.org,1912501219,No,No,No,0,1,0,3000,0,287,0,0,0,0,0,State Government Scheme,Static,Complete,Jammu ,Jammu,JAMMU AND KASHMIR,Jammu JAMMU JAMMU AND KASHMIR,32.7266016,74.8570259
414,1304,7,710,63,80,10123,KVK,SOIL TESTING LAB,JAMMU,R.S.PURA                                          ,kvkjammu@gmail.com,9419212421,No,No,No,0,0,0,300,0,250,0,0,0,0,0,ICAR,Static,Complete,R.S. Pora ,Ranbir Singh Pora,JAMMU AND KASHMIR,R.S.PURA Ranbir Singh Pora JAMMU JAMMU AND KASHMIR,32.6048991,74.731531
415,1248,7,710,58,81,563784,Govt,soil testing lab. CADchakjaralan jammu,JAMMU,BISHNAH                                           ,poswmcadjammu@gmail.com,191255455,No,No,No,0,2,4,13500,13500,6500,6500,22,0,22,0,NPMSF,Static,Complete,Chak Jaralan,Bishnah,JAMMU AND KASHMIR,BISHNAH Bishnah JAMMU JAMMU AND KASHMIR,32.6108195,74.8594853
416,1440,7,708,68,13,9961,KVK,Soil science,KARGIL,KARGIL                                            ,kvkkargil@gmail.com,9419219404,No,No,No,0,0,0,500,0, , , , , , ,State Government Scheme,Static,Under Progress,Kargil ,Kargil,JAMMU AND KASHMIR,KARGIL Kargil KARGIL JAMMU AND KASHMIR,34.5538522,76.1348944
417,1151,7,708,68,13,9961,Govt,Soil Testing Laboratory,KARGIL,KARGIL                                            ,kmakhan786@gmail.com,9419176085,No,No,No,0,1,0,500,500,365,500,0,0,0,0,State Government Scheme,Static,Complete,Kargil ,Kargil,JAMMU AND KASHMIR,KARGIL Kargil KARGIL JAMMU AND KASHMIR,34.5538522,76.1348944
418,976,7,711,81,30,9992,Govt,Mobile Soil Testing Laboratory Kathua,KATHUA,KATHUA                                            ,dolly.john@rediffmail.com,9906020206,No,No,No,0,1,1,1500,0,1345,0,275,0,130,0,"RKVY,MMA,State Government Scheme",Mobile,Complete,Kathua ,Kathua,JAMMU AND KASHMIR,KATHUA Kathua KATHUA JAMMU AND KASHMIR,32.3864799,75.5172688
419,975,7,711,81,30,9991,Govt,Soil Testing Laboratory Kathua,KATHUA,KATHUA                                            ,dolly.john@rediffmail.com,9906020206,No,No,No,1,2,1,6000,0,385,0,275,0,130,0,"RKVY,MMA,State Government Scheme",Static,Complete,Kathua ,Kathua,JAMMU AND KASHMIR,KATHUA Kathua KATHUA JAMMU AND KASHMIR,32.3864799,75.5172688
420,358,7,716,7,59,572186,KVK,"Soil, Plant and Water Testing Laboratory",KULGAM,KULGAM                                            ,kvkkulgam@gmail.com,9906829798,No,No,Yes,1,0,0,1000,1000,137,137,200,150,200,150,Nil,Static,Complete,Pambi,Kulgam,JAMMU AND KASHMIR,KULGAM Kulgam KULGAM JAMMU AND KASHMIR,33.6449908,75.018031
